"OpenCRVS_ID","Type","English_name","Bengali_name","Bureau_of_Statistics_ID","Map_data_exists","OISF_A2I_Reference","Rural_or_Urban","Estimated_Male_Population","Estimated_Female_Population","Estimated_number_of_male_children_aged_10_years","Estimated_number_of_female_children_aged_10_years","Estimated_number_of_male_children_aged_9_years","Estimated_number_of_female_children_aged_9_years","Estimated_number_of_male_children_aged_8_years","Estimated_number_of_female_children_aged_8_years","Estimated_number_of_male_children_aged_7_years","Estimated_number_of_female_children_aged_7_years","Estimated_number_of_male_children_aged_6_years","Estimated_number_of_female_children_aged_6_years","Estimated_number_of_male_children_aged_5_years","Estimated_number_of_female_children_aged_5_years","Estimated_number_of_male_children_aged_4_years","Estimated_number_of_female_children_aged_4_years","Estimated_number_of_male_children_aged_3_years","Estimated_number_of_female_children_aged_3_years","Estimated_number_of_male_children_aged_2_years","Estimated_number_of_female_children_aged_2_years","Estimated_number_of_male_children_aged_1_years","Estimated_number_of_female_children_aged_1_years","Estimated_number_of_male_children_aged_under_6_months","Estimated_number_of_female_children_aged_under_6_months"
"c9be8959-3e75-4ade-8b52-8021bd23aaf9","Thana","DAKSHINKHAN","দক্ষিণখান","130",false,"division=3&district=18&thana=130","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"951fbd3d-d43a-428b-8847-f091c8a6a78a","Thana","DARUS SALAM","দারুস সালাম","131",false,"division=3&district=18&thana=131","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9c6809cc-12e9-453e-8de2-97026244c6f4","Thana","DEMRA","ডেমরা","132",false,"division=3&district=18&thana=132","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6ca9c3f2-0128-4147-8045-b6c65f3bef5b","Thana","DHANMONDI","ধানমন্ডি","133",false,"division=3&district=18&thana=133","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"facfcdf5-4577-47e3-88f6-dc23ba98b0ed","Thana","HAZARIBAGH","হাজারীবাগ","134",false,"division=3&district=18&thana=134","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0fcbb3c6-4a33-4bd4-830a-185938b36f22","Thana","DHAMRAI","ধামরাই","135",false,"division=3&district=18&thana=135","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ff8ed2c1-6a0a-42aa-8a14-748a83dd1bf5","Thana","DOHAR","দোহার","136",false,"division=3&district=18&thana=136","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ef0f1c61-18d2-417a-8ff4-08ae51f83db3","Thana","BHASAN TEK","","137",false,"division=3&district=18&thana=137","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45d7344b-e693-4bae-ba5d-184439c02bfa","Thana","BHATARA","","138",false,"division=3&district=18&thana=138","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62f0bab5-c901-4dc4-a3cd-31c34c87028c","Thana","GENDARIA","গেন্ডারিয়া","139",false,"division=3&district=18&thana=139","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e396cbec-7b38-49db-87b1-b447c23c1b69","Thana","GULSHAN","গুলশান","140",false,"division=3&district=18&thana=140","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9b09469f-9542-4a7c-9769-7843157ab57e","Thana","JATRABARI","যাত্রাবাড়ী","141",false,"division=3&district=18&thana=141","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ffdf4d70-af05-4e02-8e5e-5d282efed6fc","Thana","KAFRUL","কাফরুল","142",false,"division=3&district=18&thana=142","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5b3930f2-de26-45cd-bdbe-9e222be02661","Thana","KADAMTALI","কদমতলী","143",false,"division=3&district=18&thana=143","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41324cee-bb91-47a7-8cdc-26fcc567ff06","Thana","KALABAGAN","কলাবাগান","144",false,"division=3&district=18&thana=144","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a34e9d1a-ba08-44d9-97c7-7cec2ba3dc79","Thana","KAMRANGIR CHAR","কামরাঙ্গীর চর","145",false,"division=3&district=18&thana=145","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"df21952a-bbad-4fd0-b88e-044f484317a8","Thana","KHILGAON","খিলগাও","146",false,"division=3&district=18&thana=146","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4c9a20de-f020-484e-90c2-b60a8d377e1b","Thana","KHILKHET","খিলক্ষেত","147",false,"division=3&district=18&thana=147","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70d933ce-f7e5-4f2b-9903-0521e2a31853","Thana","KERANIGANJ","কেরানীগঞ্জ","148",false,"division=3&district=18&thana=148","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"396c5fe4-17eb-48c7-9408-d0d974d7617c","Thana","KOTWALI","কোতয়ালী","149",false,"division=3&district=18&thana=149","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"516c96f2-4243-463c-8910-3ac21f5e5c44","Thana","LALBAGH","লালবাগ","150",false,"division=3&district=18&thana=150","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62197583-9d52-45e2-8901-76b1bf14fb53","Thana","MOHAMMADPUR","মোহাম্মদপুর","151",false,"division=3&district=18&thana=151","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1bf815b1-4d6d-4a81-ae3a-7f4f437067ac","Thana","RAMNA","রমনা","152",false,"division=3&district=18&thana=152","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"852824d0-ddc4-4d01-9347-3564f05a7a0c","Thana","MIRPUR","মিরপুর","153",false,"division=3&district=18&thana=153","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344976b5-e2ec-4dc8-8c1a-e06daf17ce94","Thana","MOTIJHEEL","মতিঝিল","154",false,"division=3&district=18&thana=154","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c4c55cf5-2114-482f-84d8-09727af301b2","Thana","MUGDA PARA","","155",false,"division=3&district=18&thana=155","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79fc2a71-87f8-4131-aac0-7264b05d3f0b","Thana","NAWABGANJ","নবাবগঞ্জ","156",false,"division=3&district=18&thana=156","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"295fb9d1-eff1-4ac4-872f-acd10fd747df","Thana","NEW MARKET","নিউ মার্কেট","157",false,"division=3&district=18&thana=157","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"918c9be9-bebc-488b-a540-24c0add95ade","Thana","PALLABI","পল্লবী","158",false,"division=3&district=18&thana=158","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e906c5b1-fbd0-4aa1-8007-18da143a4e25","Thana","PALTAN","পল্টন","159",false,"division=3&district=18&thana=159","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1aa0adab-091b-4fe3-bf5c-b5361e8a0a06","Thana","RAMPURA","রামপুরা","160",false,"division=3&district=18&thana=160","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
