id,label,code
88164478-9036-4cf6-9782-f144c93d50cb,Leptospirosis icterohaemorrhagica,A270
f0c58805-5dce-4ea6-b537-695196ec2dce,Other forms of leptospirosis,A278
f360edda-a384-4a91-a785-a0622febedaf,"Leptospirosis, unspecified",A279
0d5ac7e8-fb09-4a6e-aba8-e5f212806e33,"Other zoonotic bacterial diseases, not elsewhere classified",A28
5032b31b-f0ce-486e-86be-20ae0d9b8880,Pasteurellosis,A280
cf06f2c4-ac6f-4b34-842f-ae1b1e8cab7e,Cat-scratch disease,A281
478741e4-139f-435a-b375-688430be7d37,Extraintestinal yersiniosis,A282
a57aad98-29f8-4521-ab42-50ba13ae0de1,"Other specified zoonotic bacterial diseases, not elsewhere classified",A288
d2e87f6c-5817-4453-a205-d57f3ca16b3a,"Zoonotic bacterial disease, unspecified",A289
2e131bc3-fe5b-495c-9126-ce06d9503284,Leprosy [Hansen disease],A30
4360b0a0-bda6-43cb-975c-4580fa6b4212,Indeterminate leprosy,A300
b2975e62-a333-49f3-a447-509104e6faab,Tuberculoid leprosy,A301
e2e00571-09ef-4e17-8439-48a8d2b6f1bb,Borderline tuberculoid leprosy,A302
f69d9f06-fd09-43c1-9a58-3222177eccf2,Borderline leprosy,A303
d2640e2b-a4a8-4964-b553-dc0b8e252428,Borderline lepromatous leprosy,A304
391167f5-09e2-4cf6-9f66-de359431215a,Lepromatous leprosy,A305
19419adf-f940-45c2-b2d7-28f6ab2ee4bd,Other forms of leprosy,A308
c7048783-7673-4b11-9229-f6c423754448,"Leprosy, unspecified",A309
0317724b-be48-405e-847f-cf087e2bc92b,Infection due to other mycobacteria,A31
040944a4-d0a9-431f-a64f-cdf7bf22c737,Pulmonary mycobacterial infection,A310
c5ecedda-5493-4509-b477-f1af75a72568,Cutaneous mycobacterial infection,A311
8a35c8db-a5fd-495c-8d4b-d13ec2b500a5,Other mycobacterial infections,A318
4f72588f-366b-4185-a975-10b7b67f5085,"Mycobacterial infection, unspecified",A319
1e9304ae-0003-4435-bac5-50fc76296635,Listeriosis,A32
15f5530b-589e-4374-800c-429d2bca1b0a,Cutaneous listeriosis,A320
09de4e00-b05c-450d-9852-dc0b4f56d460,Listerial meningitis and meningoencephalitis,A321
fcb0ff62-67b1-46fe-9b55-98d6bb4e6df1,Listerial sepsis,A327
c657bfa0-2f55-4f77-b642-2106cb6406ae,Other forms of listeriosis,A328
5b06ecbf-7928-4d7c-bb50-59a9f3df8b9c,"Listeriosis, unspecified",A329
a5988283-a1b6-49b3-ad43-ae6ec92ff463,Tetanus neonatorum,A33
c5be4457-0f26-44ec-8ff3-8e71276fcafa,Obstetrical tetanus,A34
2fe6ec4a-a25b-4b56-a145-55301dd52619,Other tetanus,A35
14e04408-d313-40bb-9a06-c41888b62c30,Diphtheria,A36
41642fe6-b5ed-4142-9b3a-f6768cbe7bee,Pharyngeal diphtheria,A360
64b9ca4d-8d3a-4ff6-8d89-97fc05ef828e,Nasopharyngeal diphtheria,A361
8a98141d-d4ce-4da6-999c-68f9487d89d6,Laryngeal diphtheria,A362
b74975db-5755-41c0-8443-0b3dff3e6220,Cutaneous diphtheria,A363
bdbdecaf-d4b6-41f1-bd52-b7aae9b49445,Other diphtheria,A368
4b8a0c7b-e4f6-4274-9020-ccd9944d925c,"Diphtheria, unspecified",A369
6a17984c-f209-4dc4-b98e-eb4c959a292e,Whooping cough,A37
860a01fe-502c-4713-8a36-9391078e6367,Whooping cough due to Bordetella pertussis,A370
f43e84e0-a370-413f-b8e9-fb4e99db039d,Whooping cough due to Bordetella parapertussis,A371
dbaf4b7d-dfc7-4160-b83f-1923763c1801,Whooping cough due to other Bordetella species,A378
240c1d33-79a1-4cf3-912a-8b77fbeb1ffc,"Whooping cough, unspecified",A379
9f1fbf5d-63df-48c6-a262-b6a449cba2fd,Scarlet fever,A38
dc6645c7-194f-4488-ba75-70fd89695d06,Meningococcal infection,A39
c6ff1d6d-eedf-41fa-a439-3a1df1844dc8,Meningococcal meningitis,A390
c9d2d41e-f4af-4541-85fc-adb9c6ea5667,Waterhouse-Friderichsen syndrome,A391
cbd93952-3460-4bff-8ef6-6a3be83577f1,Acute meningococcaemia,A392
57f6d1e2-ebfe-499b-9c5e-0e78eda047df,Chronic meningococcaemia,A393
6f5ccb43-2e5f-477c-b1f8-704cb9517e66,"Meningococcaemia, unspecified",A394
fd7699cc-b986-4bef-837d-716327be51b6,Meningococcal heart disease,A395
d9f96bce-3950-4563-aec0-3c98fbf79b74,Other meningococcal infections,A398
75e1265d-f520-499b-813d-10369279c1ad,"Meningococcal infection, unspecified",A399
9e71208c-bca0-4cd6-bd23-b6a16ec37424,Streptococcal sepsis,A40
344549f8-b1b9-4e1f-bbc6-08c13275219e,"Sepsis due to streptococcus, group A",A400
1742ae35-1545-4ed1-8acc-3e297feb8cdb,"Sepsis due to streptococcus, group B",A401
ceb2d9cb-7bb7-4341-b8cc-0452c01630f3,Sepsis due to streptococcus group D and enterococcus,A402
3fccb3bb-9e56-4b7b-bc6a-703716489d5e,Sepsis due to Streptococcus pneumoniae,A403
d8ab80bd-224e-4aa1-9ddd-67c00454ecb3,Other streptococcal sepsis,A408
ace6855f-8c3f-49df-803b-ebe7af9f853c,"Streptococcal sepsis, unspecified",A409
31866020-accd-4f8d-8d37-e1be0f731ca8,Other sepsis,A41
a68b0aed-8e73-424e-85e5-af4e6514443c,Sepsis due to Staphylococcus aureus,A410
8474b38b-a949-464c-a1cb-f4d0b80e7c90,Sepsis due to other specified staphylococcus,A411
09b4c330-6348-4284-a3c2-661b39e67b4b,Sepsis due to unspecified staphylococcus,A412
aef2efbd-2300-44fa-a4e3-195e076cc16a,Sepsis due to Haemophilus influenzae,A413
86d17f8b-b583-49ef-b27b-f8511ab76840,Sepsis due to anaerobes,A414
0378b2d0-174a-401a-b0e6-ced63af33add,Sepsis due to other Gram-negative organisms,A415
871547fa-18be-427d-b09c-c96c5f49eb41,Other specified sepsis,A418
913aad79-35c1-419c-b653-5ceb8acf0918,"Sepsis, unspecified",A419
9afd64a2-8411-4f6c-936d-3f226c5299f3,Actinomycosis,A42
d2b846cb-18d7-4a56-a238-41d7684cc7ab,Pulmonary actinomycosis,A420
edb50030-f1b5-431e-8e79-d7b73f192862,Abdominal actinomycosis,A421
ce0cf301-4ad5-43cd-b8da-e8486c3b329d,Cervicofacial actinomycosis,A422
89459730-ebd6-4226-b56a-de544d59ee3b,Actinomycotic sepsis,A427
178d65bc-5d3a-4d4d-ac43-4d644c8c7f52,Other forms of actinomycosis,A428
856f6721-8442-4eee-a249-d2d28a3c9c77,"Actinomycosis, unspecified",A429
cc139bfd-67de-4d4c-950f-aca5cc053316,Nocardiosis,A43
82d09b8d-7379-48bc-bfb6-28bbc746fb1d,Pulmonary nocardiosis,A430
e96aaba4-96e0-444e-9e65-39caea832891,Cutaneous nocardiosis,A431
30f72dc7-e352-4159-b46f-698961211e3d,Other forms of nocardiosis,A438
054e78df-8b39-4c26-827c-08c733dc1b41,"Nocardiosis, unspecified",A439
e9b35ab6-2bcb-4d57-94d4-d8ef89e32c36,Bartonellosis,A44
1a35f6a3-2750-418d-9b3a-4167769adfc3,Systemic bartonellosis,A440
c6c19e29-4902-4f3e-a544-888bc116a2a8,Cutaneous and mucocutaneous bartonellosis,A441
b4276bf9-bea8-4e0d-b18f-13e5272646d4,Other forms of bartonellosis,A448
04308733-8eb4-4776-8b86-3497d8246396,"Bartonellosis, unspecified",A449
dae8f057-4ac9-43f1-838a-023ce8b90927,Erysipelas,A46
e23d2dd8-67fa-4fec-b5e7-29dcd2ea57ee,"Other bacterial diseases, not elsewhere classified",A48
165b4129-5e87-4af0-935e-67f2089a30b7,Gas gangrene,A480
39c295d9-025a-44ce-8ea9-7c37a2438993,Legionnaires disease,A481
5854a17b-40e2-45e6-980d-46bc69b463c6,Nonpneumonic Legionnaires disease [Pontiac fever],A482
b65909d3-9244-40b6-ae50-16509093a98d,Toxic shock syndrome,A483
b3a307f3-388b-497a-9031-4042ee213eb4,Brazilian purpuric fever,A484
b5d6aee6-d9af-4e74-b146-e51ed5611341,Other specified bacterial diseases,A488
897dadb7-0d4a-4b65-a84f-a2d4eea95f5a,Bacterial infection of unspecified site,A49
fb632357-7488-4e70-9945-dc1a504d5ff7,"Staphylococcal infection, unspecified site",A490
2ebb3c14-1cc1-4357-8aa8-df46df7906f3,"Streptococcal infection, unspecified site",A491
c9c4d8f5-8e93-4e6f-b764-a7c32bab115c,"Haemophilus influenzae infection, unspecified site",A492
efd1f709-d2ff-49e9-9eff-f1383f72e55a,"Mycoplasma infection, unspecified site",A493
1c85e36a-3d30-4e4a-b615-a0558139e71f,Other bacterial infections of unspecified site,A498
03a6c5f5-57d1-409f-9b1a-a2fe615226de,"Bacterial infection, unspecified",A499
11ef5380-2dc3-49e1-9fb8-cd681fd4198c,Congenital syphilis,A50
603e7bda-5d1a-4799-a22d-dfe8f282e1ea,"Early congenital syphilis, symptomatic",A500
85273fd3-1e90-4a6f-b48f-04cc962f5f8b,"Early congenital syphilis, latent",A501
d65c194c-0b94-435f-b3e4-61142513344b,"Early congenital syphilis, unspecified",A502
1d3976b0-fcf5-4674-abab-af0409a79d79,Late congenital syphilitic oculopathy,A503
539642a6-dcd6-4fcd-bd2f-246edcb8f9b6,Late congenital neurosyphilis [juvenile neurosyphilis],A504
e1627f7c-f2b8-4d79-8592-99fd1a2b0ddf,"Other late congenital syphilis, symptomatic",A505
880f9b5c-c7e9-4bd8-a8ff-7113d9c67fa9,"Late congenital syphilis, latent",A506
adc9029c-9e92-4d6d-9f3c-cabe86499802,"Late congenital syphilis, unspecified",A507
6707ea95-51cd-4053-8543-fc76d53135d8,"Congenital syphilis, unspecified",A509
f19ed9db-6993-41be-830d-a31b9b7bb082,Early syphilis,A51
fc443ae6-9c98-48c0-89ea-3c77216b1a5a,Primary genital syphilis,A510
0cfac686-c3d5-432f-9a48-15354490eeef,Primary anal syphilis,A511
ee026ae2-3a98-4501-a8df-1ff616b52c56,Primary syphilis of other sites,A512
d7a89fcc-fd25-4993-84d9-0bd4c741cf19,Secondary syphilis of skin and mucous membranes,A513
ddc57b10-950b-43ee-8ad1-b95fde27bac3,Other secondary syphilis,A514
8bac8503-fff1-420d-8a3c-845cb57a5859,"Early syphilis, latent",A515
2e318c9b-3ed8-4961-9627-cf92da001038,"Early syphilis, unspecified",A519
38c93895-4518-4097-a717-63ca00b28104,Late syphilis,A52
740348e2-fc89-4382-b8ac-ec138bbec610,Cardiovascular syphilis,A520
f4014135-5558-4072-8b27-859d06b49619,Symptomatic neurosyphilis,A521
00706a10-1906-46e1-88b9-9b4b8b28f731,Asymptomatic neurosyphilis,A522
e5ed2d5f-86f9-478f-8fb3-36ea8b901a8c,"Neurosyphilis, unspecified",A523
ffdd46e2-d69f-4736-98b5-ad8f1416eac2,Other symptomatic late syphilis,A527
3b394784-8cec-4d14-ba05-5c5656d88934,"Late syphilis, latent",A528
af7997f8-c484-4da0-b6b0-0867440ea44f,"Late syphilis, unspecified",A529
